,CityName,City_id,Country,Latitude,Max_Temperature,Humidity,Cloudiness,WindSpeed
283,Sakaiminato,1853174,JP,35.55,73.4,88,75,5.82
284,San Cristobal,3652567,EC,-1.02,76.58,83,86,2.37
285,Torrelavega,3107775,ES,43.35,70.0,100,100,3.36
286,Benghazi,88319,LY,32.12,75.68,79,0,8.66
287,Beloha,1067565,MG,-25.17,59.12,86,2,3.06
288,Bitung,1648636,ID,1.44,75.2,94,40,2.35
289,Warri,2319133,NG,5.52,76.04,91,100,5.73
290,Great Falls,5655240,US,47.5,68.0,59,40,6.13
291,Guasdualito,3689718,VE,7.24,86.0,70,0,8.05
292,Guerrero Negro,4021858,MX,27.97,66.32,83,0,18.63
293,Kavieng,2094342,PG,-2.57,83.6,70,53,7.47
294,Bambous Virieux,1106677,MU,-20.34,69.8,88,40,6.93
295,Sawtell,2150163,AU,-30.38,64.4,72,40,10.29
296,Souillac,933995,MU,-20.52,69.8,88,40,6.93
297,Vitim,2013375,RU,59.44,58.22,43,30,6.8
298,Tambun,1649378,ID,-6.26,80.01,78,40,4.7
299,Atkarsk,580420,RU,51.88,55.7,90,30,6.46
300,Serpa,2263049,PT,37.94,62.6,82,0,10.29
301,Najran,103630,SA,17.54,84.2,17,0,3.98
302,Gornyy,559731,RU,51.76,61.64,83,0,6.11
303,Fairbanks,5861897,US,64.84,75.99,46,90,11.41
304,Tessalit,2449893,ML,20.2,91.52,23,27,9.08
305,Buala,2109528,SB,-8.15,82.16,81,19,8.79
306,Padang,1633419,ID,-0.92,81.44,76,87,6.93
307,Alice,4670234,US,27.75,95.0,59,75,14.99
308,Ornskoldsvik,2686469,SE,63.29,48.2,61,0,9.17
309,Cayenne,3382160,GF,4.94,78.8,88,75,3.76
310,Nador,2541479,MA,35.17,69.8,83,23,5.82
311,Saint-Augustin,6138501,CA,45.63,87.01,45,40,2.24
312,Kutum,371745,SD,14.2,81.8,38,50,6.98
313,Iracoubo,3381428,GF,5.48,74.96,93,3,4.09
314,College,5859699,US,64.86,73.99,46,90,11.41
315,Hambantota,1244926,LK,6.12,82.52,83,93,15.59
316,Straumen,3135728,NO,63.87,45.0,100,90,4.7
317,Na Wa,1608399,TH,17.49,72.98,93,100,14.63
318,Rock Sound,3571592,BS,24.9,83.96,66,0,8.08
319,Mamallapuram,1263997,IN,12.63,87.8,70,40,5.82
320,Camapua,3468020,BR,-19.53,69.38,77,99,11.05
321,Urdoma,478769,RU,61.74,52.28,98,0,3.33
322,Adwa,344420,ET,14.16,62.36,86,42,0.85
323,Zherdevka,463217,RU,51.84,52.64,91,33,7.83
324,Ponta do Sol,2264557,PT,32.67,69.8,60,40,5.82
325,Benito Juarez,3991622,MX,28.64,100.0,50,14,11.99
326,Richards Bay,962367,ZA,-28.77,65.6,69,0,11.21
327,Port-Gentil,2396518,GA,-0.72,73.4,94,40,11.41
